,album,artist_name,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,explicit,mode,popularity,duration_ms,Unnamed: 0
0,El Dorado,24kGoldn,1,38mQZ5tZ6IylQaJCCF90ox,The Top,spotify:track:38mQZ5tZ6IylQaJCCF90ox,0.336,0.754,0.711,0.0,0.128,-3.842,0.072,138.031,0.27,True,0,59,196373,
1,Fighting Demons (Deluxe),Juice WRLD,1,1X8E4vVoOM3BpSQlEDSjjM,Burn,spotify:track:1X8E4vVoOM3BpSQlEDSjjM,0.149,0.354,0.475,0.034,0.21,-9.333,0.0425,114.975,0.0393,True,0,76,217222,
2,El Dorado,24kGoldn,2,3JVTsvTldB6arHVlmxmTnM,Company (feat. Future),spotify:track:3JVTsvTldB6arHVlmxmTnM,0.447,0.831,0.727,0.0,0.111,-3.657,0.169,125.068,0.703,True,0,71,213080,
3,Fighting Demons (Deluxe),Juice WRLD,2,1hB3M3POeKMLxcEFEvPeqU,Already Dead,spotify:track:1hB3M3POeKMLxcEFEvPeqU,0.0216,0.744,0.495,0.0,0.111,-6.311,0.0634,83.51,0.128,True,1,77,231221,
4,Fighting Demons (Deluxe),Juice WRLD,3,1CfuBY3BDdKpooQ9L5zgUc,Cigarettes,spotify:track:1CfuBY3BDdKpooQ9L5zgUc,0.0306,0.587,0.614,0.0,0.399,-6.344,0.0435,160.075,0.451,True,1,79,227527,
5,Fighting Demons (Deluxe),Juice WRLD,4,0veO6y9anwdVTaRuW7y8NJ,You Wouldn't Understand,spotify:track:0veO6y9anwdVTaRuW7y8NJ,0.0012,0.724,0.748,0.0,0.132,-4.335,0.0722,158.04,0.118,True,0,71,170792,
6,El Dorado,24kGoldn,4,3DwtzjXAKk8zS3tbdJHOsK,Outta Pocket,spotify:track:3DwtzjXAKk8zS3tbdJHOsK,0.097,0.728,0.689,0.0,0.359,-3.077,0.0399,92.993,0.48,True,0,57,146680,
7,Fighting Demons (Deluxe),Juice WRLD,5,3i6sCTU7ENlnHpHvrHUitW,Sometimes,spotify:track:3i6sCTU7ENlnHpHvrHUitW,0.0609,0.674,0.58,0.0,0.159,-4.866,0.0311,121.987,0.0759,True,1,85,259672,
8,El Dorado,24kGoldn,5,6MGRweoLPBAaPcXTMpMWsA,Coco (feat. DaBaby),spotify:track:6MGRweoLPBAaPcXTMpMWsA,0.158,0.697,0.783,0.0,0.151,-4.356,0.0876,98.068,0.528,True,0,75,142000,
9,Fighting Demons (Deluxe),Juice WRLD,6,2DQayQSTaomynGyTLXzGs0,Wandered To LA (with Justin Bieber),spotify:track:2DQayQSTaomynGyTLXzGs0,0.0518,0.687,0.643,3.31e-06,0.11,-4.763,0.0406,135.068,0.418,True,1,74,188833,
10,El Dorado,24kGoldn,6,5kJkOtbYfLn9z6dQR8tx6u,Butterflies,spotify:track:5kJkOtbYfLn9z6dQR8tx6u,0.249,0.713,0.537,0.0,0.117,-4.806,0.0945,89.985,0.323,True,0,54,220387,
11,El Dorado,24kGoldn,7,6wpEKnAD0c7y4H2iAUrj4K,Breath Away,spotify:track:6wpEKnAD0c7y4H2iAUrj4K,0.445,0.778,0.697,0.0,0.123,-2.278,0.0491,145.949,0.852,True,0,56,171400,
12,Fighting Demons (Deluxe),Juice WRLD,7,7n6OIZ0TGJAxgmId9EygTE,Eminem Speaks,spotify:track:7n6OIZ0TGJAxgmId9EygTE,0.936,0.646,0.235,0.0,0.271,-19.697,0.582,128.139,0.624,True,0,63,133251,
13,Fighting Demons (Deluxe),Juice WRLD,8,2aaUTdC6YQqEZiQEk8wPxK,Rockstar In His Prime,spotify:track:2aaUTdC6YQqEZiQEk8wPxK,0.415,0.685,0.729,0.0,0.196,-8.694,0.15,170.025,0.382,True,0,71,180750,
14,El Dorado,24kGoldn,8,21qG1xDCjJDZZ6Gffjpjt2,Yellow Lights,spotify:track:21qG1xDCjJDZZ6Gffjpjt2,0.279,0.714,0.796,0.0,0.0739,-3.185,0.0468,150.071,0.582,True,0,54,146480,
15,Fighting Demons (Deluxe),Juice WRLD,9,1GydGCPNYJnCziQZBLE85q,Doom,spotify:track:1GydGCPNYJnCziQZBLE85q,0.016,0.62,0.495,1.91e-05,0.102,-7.251,0.0534,85.951,0.122,True,1,70,217488,
16,El Dorado,24kGoldn,9,2hx8cZug1bgRMXgW5RCTUV,"3, 2, 1",spotify:track:2hx8cZug1bgRMXgW5RCTUV,0.246,0.694,0.708,0.0,0.152,-2.066,0.137,164.958,0.69,True,1,75,131587,
17,El Dorado,24kGoldn,10,1RcMFiXTuwbv78czGAYY7W,Empty (feat. Swae Lee),spotify:track:1RcMFiXTuwbv78czGAYY7W,0.419,0.702,0.596,8.58e-06,0.125,-4.174,0.0966,169.884,0.382,False,0,53,163333,
18,Fighting Demons (Deluxe),Juice WRLD,10,6LhB5o2iWjJgNHqock5H3b,Go Hard 2.0,spotify:track:6LhB5o2iWjJgNHqock5H3b,0.611,0.616,0.463,4.65e-06,0.163,-7.666,0.18,145.289,0.0682,True,0,73,214728,
19,El Dorado,24kGoldn,11,5DHDV5VawsTsUrJmPJTPVD,Cut It Off,spotify:track:5DHDV5VawsTsUrJmPJTPVD,0.0986,0.648,0.613,0.0,0.302,-4.38,0.0542,87.523,0.369,False,1,49,154827,
20,Fighting Demons (Deluxe),Juice WRLD,11,5MaFTsKpVo4VHmzXUIdLrj,Juice WRLD Speaks,spotify:track:5MaFTsKpVo4VHmzXUIdLrj,0.852,0.559,0.42,0.0,0.363,-15.124,0.888,71.13,0.799,True,0,61,89310,
21,El Dorado,24kGoldn,12,2ucxgtfCJ6IBZYz0fReLND,Don't Sleep,spotify:track:2ucxgtfCJ6IBZYz0fReLND,0.0561,0.635,0.546,0.0,0.121,-5.838,0.0385,141.918,0.271,True,1,53,207360,
22,Fighting Demons (Deluxe),Juice WRLD,12,55ZNNY6D8FkNFAlVceAwIZ,Not Enough,spotify:track:55ZNNY6D8FkNFAlVceAwIZ,0.00369,0.693,0.715,2.86e-06,0.205,-6.108,0.049,90.006,0.323,True,1,70,171830,
23,El Dorado,24kGoldn,13,4jPy3l0RUwlUI9T5XHBW2m,Mood (feat. iann dior),spotify:track:4jPy3l0RUwlUI9T5XHBW2m,0.174,0.701,0.716,0.0,0.324,-3.671,0.0361,91.007,0.732,True,0,90,140533,
24,Fighting Demons (Deluxe),Juice WRLD,13,45ttRl8uNtJkop7r9dmP4e,Feline (with Polo G & Trippie Redd),spotify:track:45ttRl8uNtJkop7r9dmP4e,0.0208,0.575,0.619,0.0,0.103,-6.663,0.322,110.109,0.296,True,1,72,212204,
25,Fighting Demons (Deluxe),Juice WRLD,14,26bkmabhSByGuQgWUqB37J,Relocate,spotify:track:26bkmabhSByGuQgWUqB37J,0.114,0.706,0.59,0.0,0.128,-6.403,0.0619,82.973,0.462,True,1,67,208188,
26,Fighting Demons (Deluxe),Juice WRLD,15,1N0TOOPBJvFOvQipTFz5io,Juice WRLD Speaks 2,spotify:track:1N0TOOPBJvFOvQipTFz5io,0.988,0.496,0.28,0.0185,0.104,-13.915,0.0951,99.506,0.519,True,0,62,190998,
27,Fighting Demons (Deluxe),Juice WRLD,16,2FDXscpZOtGwuOKmY0K76w,Until The Plug Comes Back Around,spotify:track:2FDXscpZOtGwuOKmY0K76w,0.196,0.7,0.725,0.0,0.176,-5.776,0.0491,144.994,0.524,True,1,66,173678,
28,El Dorado,24kGoldn,3,05EjphKqE2EJVMy0iORf1l,Love Or Lust,spotify:track:05EjphKqE2EJVMy0iORf1l,0.112,0.718,0.651,0.0,0.101,-3.594,0.13,144.042,0.723,False,0,60,176373,
29,Fighting Demons (Deluxe),Juice WRLD,17,4HDQt6Lepj3HpxypbG30Hz,From My Window,spotify:track:4HDQt6Lepj3HpxypbG30Hz,0.129,0.702,0.514,0.0,0.104,-6.674,0.0432,76.982,0.133,True,0,69,187212,
30,Fighting Demons (Deluxe),Juice WRLD,18,59bY27SZQ4r25o02vqOhgC,Girl Of My Dreams (with SUGA of BTS),spotify:track:59bY27SZQ4r25o02vqOhgC,0.194,0.603,0.771,0.0,0.13,-6.336,0.0627,139.988,0.332,True,1,75,226149,
31,Fighting Demons (Deluxe),Juice WRLD,19,7Jc01x8pxVqgVGxn5jrwui,Feel Alone,spotify:track:7Jc01x8pxVqgVGxn5jrwui,0.0935,0.619,0.622,0.0,0.226,-5.874,0.0461,150.062,0.194,True,0,68,230094,
32,Fighting Demons (Deluxe),Juice WRLD,20,6D1KDOoVRKLyGcxVBi13Ot,Go Hard,spotify:track:6D1KDOoVRKLyGcxVBi13Ot,0.625,0.641,0.445,7.8e-06,0.119,-7.94,0.12,145.302,0.0534,True,0,67,134689,
33,Fighting Demons (Deluxe),Juice WRLD,21,2iSQmITHUdCBQGDgvwEzkY,My Life In A Nutshell,spotify:track:2iSQmITHUdCBQGDgvwEzkY,0.0126,0.565,0.614,0.0,0.125,-7.008,0.0383,142.113,0.188,True,1,66,189740,
34,Fighting Demons (Deluxe),Juice WRLD,22,4UoDSs5VAw6xHdzbkjocTM,Rich And Blind,spotify:track:4UoDSs5VAw6xHdzbkjocTM,0.0092,0.641,0.637,0.0,0.0931,-5.185,0.109,159.964,0.43,True,1,64,228193,
35,Fighting Demons (Deluxe),Juice WRLD,23,6BjtaWm1T4kDWAqHrf8vEi,Legends,spotify:track:6BjtaWm1T4kDWAqHrf8vEi,0.114,0.586,0.82,0.0,0.134,-4.791,0.072,142.107,0.391,True,0,65,192036,
36,DROPPED OUTTA COLLEGE,24kGoldn,9,2ZW6w3NPw4lZf4Li0UBOwL,CITY OF ANGELS - LLusion Funk Remix,spotify:track:2ZW6w3NPw4lZf4Li0UBOwL,0.233,0.856,0.616,0.0,0.219,-5.871,0.571,120.165,0.886,False,0,60,124000,
37,DROPPED OUTTA COLLEGE,24kGoldn,10,6eS0wBVWhhFmT1ufmMMh2G,VALENTINO (feat. Lil Tjay) - Remix,spotify:track:6eS0wBVWhhFmT1ufmMMh2G,0.143,0.744,0.557,0.0,0.138,-9.552,0.23,151.052,0.66,True,0,50,198964,
38,DROPPED OUTTA COLLEGE,24kGoldn,1,2aV5ZEAvHwvL332EsJ1gWc,DROPPED OUTTA COLLEGE,spotify:track:2aV5ZEAvHwvL332EsJ1gWc,0.0107,0.911,0.379,1.69e-06,0.15,-7.823,0.412,120.044,0.191,True,1,57,127613,
39,DROPPED OUTTA COLLEGE,24kGoldn,2,2ajT5ziA7OSRU9Q7PwXdri,THE GRAM (feat. Fetty Wap),spotify:track:2ajT5ziA7OSRU9Q7PwXdri,0.0556,0.791,0.64,0.0,0.0662,-5.221,0.0701,141.05,0.599,True,1,43,198440,
40,DROPPED OUTTA COLLEGE,24kGoldn,3,3IGDjnVf4i7g44bePMSKV0,MY BED,spotify:track:3IGDjnVf4i7g44bePMSKV0,0.139,0.734,0.552,0.0,0.114,-4.861,0.0409,127.96,0.601,True,1,48,121507,
41,DROPPED OUTTA COLLEGE,24kGoldn,4,6ap9lSRJ0iLriGLqoJ44cq,CITY OF ANGELS,spotify:track:6ap9lSRJ0iLriGLqoJ44cq,0.042,0.686,0.541,0.0,0.0675,-4.993,0.0493,120.082,0.724,False,0,78,112493,
42,DROPPED OUTTA COLLEGE,24kGoldn,5,6piAUJJQFD8oHDUr0b7l7q,VALENTINO,spotify:track:6piAUJJQFD8oHDUr0b7l7q,0.199,0.746,0.717,0.0,0.132,-4.841,0.179,150.964,0.523,True,0,77,179133,
43,DROPPED OUTTA COLLEGE,24kGoldn,6,2EsyJN3AvC3zBlkQpb119M,GAMES ON YOUR PHONE,spotify:track:2EsyJN3AvC3zBlkQpb119M,0.15,0.683,0.607,0.0,0.147,-5.62,0.0601,152.945,0.496,True,0,65,150933,
44,DROPPED OUTTA COLLEGE,24kGoldn,7,3yxRe1MUvZthHSaXIFMU9m,BEEN HERE BEFORE,spotify:track:3yxRe1MUvZthHSaXIFMU9m,0.0229,0.665,0.796,0.0,0.169,-4.579,0.0527,99.028,0.102,False,1,47,189160,
45,DROPPED OUTTA COLLEGE,24kGoldn,8,7yL4wdksHlDnmKvofxMTBE,A LOT TO LOSE,spotify:track:7yL4wdksHlDnmKvofxMTBE,0.193,0.607,0.766,0.0,0.131,-5.65,0.0475,160.008,0.425,False,1,63,180747,
46,Thats What They All Say,Jack Harlow,1,6SdQfCiVae1EXK1pQ6b92o,Rendezvous,spotify:track:6SdQfCiVae1EXK1pQ6b92o,0.0754,0.726,0.556,1.42e-05,0.392,-8.481,0.206,89.034,0.664,True,1,67,113287,
47,Thats What They All Say,Jack Harlow,2,6MDdceLYec4AxohmorE4vH,Face Of My City (feat. Lil Baby),spotify:track:6MDdceLYec4AxohmorE4vH,0.0034,0.74,0.566,0.0,0.589,-8.389,0.32,156.197,0.342,True,0,72,123447,
48,Thats What They All Say,Jack Harlow,3,54FJWt8YIA1IHjmUxuDxwi,21C/Delta,spotify:track:54FJWt8YIA1IHjmUxuDxwi,0.0132,0.729,0.588,0.000688,0.147,-7.494,0.248,97.45,0.198,True,0,68,214000,
49,Thats What They All Say,Jack Harlow,4,4qksq0n5lAvp6dl9M3iXWU,Funny Seeing You Here,spotify:track:4qksq0n5lAvp6dl9M3iXWU,0.468,0.667,0.72,0.0,0.111,-9.079,0.621,80.422,0.458,True,0,63,154062,
50,Thats What They All Say,Jack Harlow,5,57VeLYXrvNxe8Vs18K2M9W,Way Out (feat. Big Sean),spotify:track:57VeLYXrvNxe8Vs18K2M9W,0.114,0.945,0.582,0.0,0.103,-8.357,0.0719,108.025,0.907,True,0,77,168906,
51,Thats What They All Say,Jack Harlow,6,4RKJRRd4VJfZWiqQTYsleE,Already Best Friends (feat. Chris Brown),spotify:track:4RKJRRd4VJfZWiqQTYsleE,0.0891,0.873,0.575,0.0,0.108,-7.284,0.0702,103.005,0.872,True,0,81,197031,
52,Thats What They All Say,Jack Harlow,7,2BUP8KOWDlCsdEV8DJPQQn,Keep It Light,spotify:track:2BUP8KOWDlCsdEV8DJPQQn,0.538,0.663,0.645,6.84e-05,0.214,-7.37,0.248,71.968,0.587,True,0,66,203500,
53,Thats What They All Say,Jack Harlow,8,3DR7shAbkNyqgZjYnHZLh2,Creme,spotify:track:3DR7shAbkNyqgZjYnHZLh2,0.275,0.857,0.477,7.58e-05,0.14,-8.547,0.21,92.049,0.589,True,0,66,156531,
54,Thats What They All Say,Jack Harlow,9,2InNHqO69Nu6lH8169ncxR,Same Guy (feat. Adam Levine),spotify:track:2InNHqO69Nu6lH8169ncxR,0.184,0.797,0.573,0.0,0.104,-6.329,0.101,93.539,0.653,True,0,63,164031,
55,Thats What They All Say,Jack Harlow,10,5faz5WYRJdRDiCa42DSgHR,Route 66 (feat. EST Gee),spotify:track:5faz5WYRJdRDiCa42DSgHR,0.038,0.914,0.463,0.0,0.0833,-10.187,0.174,144.039,0.532,True,0,71,153360,
56,Thats What They All Say,Jack Harlow,11,3w1WjD2zJqjBjDz5fwqQPJ,Tyler Herro,spotify:track:3w1WjD2zJqjBjDz5fwqQPJ,0.0872,0.792,0.793,0.0,0.22,-6.185,0.0841,123.031,0.775,True,0,80,156578,
57,Thats What They All Say,Jack Harlow,12,0LcsvJQSFIQo3RjNhPcYqT,Luv Is Dro (feat. Static Major & Bryson Tiller),spotify:track:0LcsvJQSFIQo3RjNhPcYqT,0.0335,0.727,0.513,0.0,0.302,-8.823,0.0524,76.211,0.568,True,0,75,177190,
58,Thats What They All Say,Jack Harlow,13,6MmqHc3V7NlOyPmHPVfHLo,Whats Poppin,spotify:track:6MmqHc3V7NlOyPmHPVfHLo,0.016,0.923,0.602,0.0,0.271,-6.671,0.244,145.07,0.821,True,0,58,139741,
59,Thats What They All Say,Jack Harlow,14,0Gvl1luZaeTgCbVSI2z23D,Baxter Avenue,spotify:track:0Gvl1luZaeTgCbVSI2z23D,0.15,0.7,0.676,0.0,0.106,-8.74,0.372,92.597,0.684,True,1,60,207797,
60,Thats What They All Say,Jack Harlow,15,0ZLuW8uOXdFNWcI40C0OC2,"Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track",spotify:track:0ZLuW8uOXdFNWcI40C0OC2,0.0631,0.904,0.723,0.0,0.185,-5.224,0.26,145.013,0.835,True,0,78,227478,
61,Goodbye & Good Riddance (Anniversary),Juice WRLD,17,26gXWzhL8DZJSU5sODhVTs,734,spotify:track:26gXWzhL8DZJSU5sODhVTs,0.134,0.635,0.554,0.0,0.116,-3.975,0.0343,156.822,0.315,True,0,75,196147,
62,Goodbye & Good Riddance (Anniversary),Juice WRLD,18,1jKlRcH7X78ps1yKBTWyUV,Lucid Dreams (feat. Lil Uzi Vert) - Remix,spotify:track:1jKlRcH7X78ps1yKBTWyUV,0.125,0.443,0.579,0.0,0.284,-6.517,0.187,83.827,0.256,True,0,60,240437,
63,Sweet Action,Jack Harlow,1,1jaTQ3nqY3oAAYyCTbIvnM,WHATS POPPIN,spotify:track:1jaTQ3nqY3oAAYyCTbIvnM,0.017,0.923,0.604,0.0,0.272,-6.671,0.245,145.062,0.826,True,0,83,139741,
64,Sweet Action,Jack Harlow,2,0qoxr5PUFbDqGLHIpEnWAr,2STYLISH,spotify:track:0qoxr5PUFbDqGLHIpEnWAr,0.0116,0.945,0.638,0.0,0.0894,-7.662,0.0774,100.011,0.441,True,1,62,142945,
65,Sweet Action,Jack Harlow,3,2aWVaW1p2kUc5yuKwBmRJi,I WANNA SEE SOME ASS (feat. jetsonmade),spotify:track:2aWVaW1p2kUc5yuKwBmRJi,0.18,0.899,0.691,0.000451,0.135,-7.554,0.0497,107.951,0.865,True,1,83,125302,
66,Sweet Action,Jack Harlow,4,5xAR2kje4pVMHz0ipvp2VA,SMELLS LIKE INCENSE,spotify:track:5xAR2kje4pVMHz0ipvp2VA,0.0167,0.952,0.547,0.0,0.0852,-5.533,0.0591,100.033,0.31,True,0,63,144444,
67,Sweet Action,Jack Harlow,5,6ukXwaLZoMjeqA98ZdKLtq,OUT FRONT,spotify:track:6ukXwaLZoMjeqA98ZdKLtq,0.0904,0.896,0.483,0.000218,0.0889,-9.794,0.0663,103.0,0.51,True,0,61,178968,
68,Sweet Action,Jack Harlow,6,3FWIAl04a9ySFhk4HH15ov,HEY BIG HEAD,spotify:track:3FWIAl04a9ySFhk4HH15ov,0.0376,0.846,0.554,0.00245,0.102,-5.856,0.0991,163.887,0.611,True,1,62,121708,
69,Sweet Action,Jack Harlow,7,1iMRCWHw0c57LOwae6dNJv,ONCE MAY COMES,spotify:track:1iMRCWHw0c57LOwae6dNJv,0.0736,0.906,0.435,0.0,0.098,-8.933,0.198,90.521,0.529,True,0,57,146607,
70,Legends Never Die,Juice WRLD,1,02XcRGWPkvomFvzTamEKHg,Anxiety - Intro,spotify:track:02XcRGWPkvomFvzTamEKHg,0.972,0.307,0.528,0.00056,0.222,-11.337,0.108,174.795,0.58,True,0,62,70395,
71,Legends Never Die,Juice WRLD,2,4K06PO78fW4mnBVenxGNob,Conversations,spotify:track:4K06PO78fW4mnBVenxGNob,0.176,0.747,0.622,0.0,0.151,-5.825,0.0838,159.93,0.57,True,1,79,181661,
72,Legends Never Die,Juice WRLD,3,1YM6c2sxbf2Jacl9IFgn4I,Titanic,spotify:track:1YM6c2sxbf2Jacl9IFgn4I,0.168,0.567,0.545,0.0,0.112,-6.668,0.0448,174.146,0.234,True,0,74,176650,
73,Legends Never Die,Juice WRLD,4,7d94IqWX2UmSKMGUYSGFJG,Bad Energy,spotify:track:7d94IqWX2UmSKMGUYSGFJG,0.17,0.654,0.452,0.0,0.114,-6.36,0.0439,138.034,0.532,True,1,75,186749,
74,Legends Never Die,Juice WRLD,5,5dOxHHMOFAbG3VH23t0xNm,Righteous,spotify:track:5dOxHHMOFAbG3VH23t0xNm,0.0417,0.706,0.625,0.0,0.129,-7.426,0.0314,142.948,0.225,True,1,81,242181,
75,Legends Never Die,Juice WRLD,6,0fCwrjKfWxF3xQhZrYUw4T,Blood On My Jeans,spotify:track:0fCwrjKfWxF3xQhZrYUw4T,0.183,0.868,0.55,0.0,0.109,-6.417,0.226,117.943,0.464,True,1,77,154767,
76,Confetti,Jack Harlow,1,70whMGrt6rwbkPlXGNtTBw,GHOST,spotify:track:70whMGrt6rwbkPlXGNtTBw,0.000258,0.828,0.533,0.0,0.108,-6.067,0.166,191.014,0.467,False,1,63,140996,
77,Legends Never Die,Juice WRLD,7,6wQlQrTY5mVS8EGaFZVwVF,Smile (with The Weeknd),spotify:track:6wQlQrTY5mVS8EGaFZVwVF,0.224,0.694,0.685,0.0,0.124,-6.535,0.133,158.831,0.306,True,0,78,196180,
78,Legends Never Die,Juice WRLD,8,5JAYDuLRkODlVt6dgoalKk,Tell Me U Luv Me (with Trippie Redd),spotify:track:5JAYDuLRkODlVt6dgoalKk,0.291,0.66,0.76,0.0,0.632,-5.726,0.0787,127.984,0.394,True,1,75,180129,
79,Confetti,Jack Harlow,2,15jg4vt123axobdGleLugn,ROTTEN (feat. EST Gee),spotify:track:15jg4vt123axobdGleLugn,0.0144,0.844,0.54,0.0,0.167,-5.58,0.166,107.004,0.133,True,0,63,190963,
80,Confetti,Jack Harlow,3,366wf5kMxgFOWA9ts6ocpa,ICE,spotify:track:366wf5kMxgFOWA9ts6ocpa,0.0263,0.937,0.658,0.0,0.111,-7.4,0.145,96.508,0.553,True,1,55,147415,
81,Legends Never Die,Juice WRLD,9,0ada5XsQGLPUVbmTCkAP49,Hate The Other Side (with Marshmello & The Kid Laroi),spotify:track:0ada5XsQGLPUVbmTCkAP49,0.291,0.701,0.65,0.0,0.112,-6.313,0.104,90.003,0.647,True,1,81,160212,
82,Confetti,Jack Harlow,4,01DGSKcBCSQ3pRJ4q4Ekmj,SUNDAY NIGHT,spotify:track:01DGSKcBCSQ3pRJ4q4Ekmj,0.116,0.765,0.76,9.89e-05,0.327,-5.247,0.0343,119.92,0.787,True,0,55,191778,
83,Legends Never Die,Juice WRLD,10,2wg81gBz6PZSwbZrXObeW4,Get Through It - Interlude,spotify:track:2wg81gBz6PZSwbZrXObeW4,0.918,0.348,0.231,0.857,0.159,-16.23,0.045,89.098,0.2,True,1,16,20929,
84,Legends Never Die,Juice WRLD,11,5wWAwzGp2OaaoIkwcz6wZs,Life's A Mess (feat. Halsey),spotify:track:5wWAwzGp2OaaoIkwcz6wZs,0.337,0.63,0.446,0.0,0.166,-8.9,0.0351,143.078,0.177,True,1,78,202193,
85,Confetti,Jack Harlow,5,2ihL1KGMA0geIqGT5pkZzo,WARSAW (feat. 2forwOyNE),spotify:track:2ihL1KGMA0geIqGT5pkZzo,0.0474,0.923,0.533,4.12e-06,0.0925,-5.627,0.0883,97.958,0.689,True,0,67,187267,
86,Legends Never Die,Juice WRLD,12,2Y0wPrPQBrGhoLn14xRYCG,Come & Go (with Marshmello),spotify:track:2Y0wPrPQBrGhoLn14xRYCG,0.0172,0.625,0.814,0.0,0.158,-5.181,0.0657,144.991,0.535,True,1,86,205485,
87,Confetti,Jack Harlow,6,2zQAmeVTYjr4oDBR9r6LAG,BIG CHILLIN,spotify:track:2zQAmeVTYjr4oDBR9r6LAG,0.0111,0.616,0.696,0.0,0.262,-8.205,0.401,129.05,0.483,True,0,56,158015,
88,Confetti,Jack Harlow,7,5lRkkQ6AqiezT8smWMjOMU,GOIN BACK DOWN,spotify:track:5lRkkQ6AqiezT8smWMjOMU,9.54e-05,0.733,0.744,1.32e-05,0.0778,-8.12,0.0489,195.006,0.585,True,1,53,166858,
89,Legends Never Die,Juice WRLD,13,2SVx3uds6jTWALFxevIWMA,I Want It,spotify:track:2SVx3uds6jTWALFxevIWMA,0.133,0.288,0.638,8.16e-05,0.14,-6.935,0.0779,66.424,0.147,True,0,72,173114,
90,Legends Never Die,Juice WRLD,14,0440JCJyIAmINA8KcYgFb5,Fighting Demons,spotify:track:0440JCJyIAmINA8KcYgFb5,0.0813,0.707,0.67,0.0,0.098,-6.328,0.257,163.099,0.235,True,0,73,200629,
91,Confetti,Jack Harlow,8,1AgSUWSzmza5jF6ER5R68v,THRU THE NIGHT (feat. Bryson Tiller),spotify:track:1AgSUWSzmza5jF6ER5R68v,0.016,0.88,0.58,3.83e-06,0.0936,-5.032,0.0438,124.003,0.754,True,0,74,128409,
92,Confetti,Jack Harlow,9,0XOKietGW4PXK4hs4jyfpO,WALK IN THE PARK,spotify:track:0XOKietGW4PXK4hs4jyfpO,0.07,0.956,0.519,0.0,0.106,-7.832,0.167,132.061,0.529,True,1,62,152992,
93,Legends Never Die,Juice WRLD,15,2U5WueTLIK5WJLD7mvDODv,Wishing Well,spotify:track:2U5WueTLIK5WJLD7mvDODv,0.00336,0.65,0.613,0.0,0.267,-6.13,0.128,149.972,0.0804,True,0,86,194621,
94,Confetti,Jack Harlow,10,4gY2S5FOKy3dUIGNJyt3dB,RAIN,spotify:track:4gY2S5FOKy3dUIGNJyt3dB,0.00181,0.876,0.607,1.69e-05,0.107,-6.736,0.103,101.002,0.131,True,1,56,196639,
95,Legends Never Die,Juice WRLD,16,4F6YLjakjqWFTgC5qfEwPQ,Screw Juice,spotify:track:4F6YLjakjqWFTgC5qfEwPQ,0.082,0.595,0.528,0.0,0.142,-7.371,0.0935,150.075,0.515,True,0,72,179464,
96,Legends Never Die,Juice WRLD,17,7pbg3ABlAZv2NiIdKbBBFm,Up Up And Away,spotify:track:7pbg3ABlAZv2NiIdKbBBFm,0.538,0.661,0.665,0.0,0.0981,-6.356,0.053,75.059,0.486,True,0,76,147548,
97,Confetti,Jack Harlow,11,7zJld1LpGmLsPt8IGOc0KL,HEAVY HITTER,spotify:track:7zJld1LpGmLsPt8IGOc0KL,0.0418,0.886,0.646,0.0,0.16,-7.214,0.189,98.03,0.867,True,0,58,147260,
98,Legends Never Die,Juice WRLD,18,4sjdZEEQvR1sXrRNSuBfbA,"The Man, The Myth, The Legend - Interlude",spotify:track:4sjdZEEQvR1sXrRNSuBfbA,0.916,0.667,0.447,0.0,0.612,-14.625,0.761,83.534,0.829,True,1,59,136545,
99,Confetti,Jack Harlow,12,5YsP03BXEcu4PoJygpZsnW,RIVER ROAD,spotify:track:5YsP03BXEcu4PoJygpZsnW,0.104,0.84,0.785,1.2e-05,0.0834,-6.626,0.331,90.04,0.831,True,1,60,255059,
100,Legends Never Die,Juice WRLD,19,21CkzgKCBCq5V4XKjiGSIj,Stay High,spotify:track:21CkzgKCBCq5V4XKjiGSIj,0.439,0.745,0.5,0.0,0.0943,-6.184,0.135,76.968,0.433,True,1,79,168685,
101,Legends Never Die,Juice WRLD,20,4PPLJAEYBSOcnzr9TZoqf9,Can't Die,spotify:track:4PPLJAEYBSOcnzr9TZoqf9,0.0222,0.652,0.671,0.0,0.107,-5.89,0.0756,84.008,0.274,True,1,74,182922,
102,Legends Never Die,Juice WRLD,21,7AvprzMsRJpybaalckaT8c,Man Of The Year,spotify:track:7AvprzMsRJpybaalckaT8c,0.00584,0.621,0.695,0.0,0.086,-5.124,0.0911,173.966,0.298,True,1,77,136408,
103,Legends Never Die,Juice WRLD,22,1OjiYjgPZyxS0AiXiSnuYI,Juice WRLD Speaks From Heaven - Outro,spotify:track:1OjiYjgPZyxS0AiXiSnuYI,0.991,0.392,0.373,0.0978,0.545,-14.097,0.0968,121.678,0.519,True,1,60,30583,
104,Loose,Jack Harlow,1,0ipgd8PPFza3NNmN3Rn2uF,SUNDOWN,spotify:track:0ipgd8PPFza3NNmN3Rn2uF,0.163,0.816,0.754,0.00199,0.105,-5.922,0.152,92.023,0.704,True,1,68,125217,
